Name	Sets	ImageFile	Cost	Damage	Momentum	Type	Target	Traits	Wrestler Logo	Game Text
Buckshot Lariat	Advanced	BuckshotLariat.png	10	12	12	Strike	H		Adam Page Wrestler	Finisher  As you play this you may Tuck a card from your discard to give this +ND, where N is the Momentum of the Tucked card.
Build Support	Advanced	BuildSupport.png	0	0	2	Action		Pop		Enters - Scout, gain 1 Stamina, and put a +1M Counter on a card in your ring.
By God	Advanced	ByGod.png	N/a	N/a	1	Call Name			By God	Your Starting Draw deck may include up to 3 cost of any cards. Don Callis - You may also include one copy of Will of the Invisible Hand.
Call For Help	Advanced	CallForHelp.png	6	0	2	Action		Assist		Enters - Draw a card and gain 2 Stamina. You may Commit your Faction. If you do opponent discards a card then tucks a card from their discard.
CALL NAME	Advanced	CallName.png	N/a	N/a	-	Call Name				THIS CARD IS FOR VISION PLAYTESTING.  This is for standing in your deck for a card you have designed. We're in Vision testing, so make whatever and try it out.
Casanova	Advanced	Casanova.png	8	0	3	Action			Andrade Wrestler	Sudden  Enters - Discard the bottom two cards of your Draw Deck, put two cards from your discard beneath your draw deck, Market the bottom two cards of your Purchase Deck then Tuck up to two cards from your Market.
Cash Cannons	Advanced	CashCannons.png	3	0	2	Action				Enters - Market two cards
Catch the Ropes	Advanced	CatchTheRopes.png	3	0	2	Response				Rope Break. Reverse any Strike, High Risk, Suplex, or Set-Up
Cause a Distraction	Advanced	CauseADistraction.png	10	0	3	Response		Assist		Sudden  Reverse any card.  Enters - Discard a card unless you commit your Manager or Faction.
Champion's Advantage	Advanced	Champion'sAdvantage.png	10	0	4	Action				Special - You may Commit your Championship play this like it had Sudden.  Enters - Draw two cards and gain 3 Stamina.
Champion's Resolve	Advanced	Champion'sResolve.png	6	0	4	Response				Resilient  Reverse any card of 4C or less. You may Commit your Championship, if you do reverse any card instead.
Champion's Resolve	Advanced	Champion'sResolve.png	6	0	2	Response				Reverse any maneuver of 4C or less. You may Commit your Championship to reverse any maneuver instead.
Chaos	Advanced	Chaos.png	0	0	0	Boon				Ongoing - All maneuvers are +1D. Each Player's Hand is +1.
Charging Lariat	Advanced	ChargingLariat.png	0	2	3	Strike	T	Running,Lariat		Power Attack
Chinlock	Advanced	Chinlock.png	4	6	6	Submission	H			Ongoing - To play Action cards opponent must either pay for them or Discard a card.
Chris Jericho Wrestler	Advanced	ChrisJerichoWrestler.png	N/a	N/a	1	Wrestler			Chris Jericho Wrestler	You can have an additional Call Name
Christian Cage Manager	Advanced	ChristianCageManager.png	N/a	N/a	2	Manager			Christian Cage Manager	Ongoing - Your cards played from outside your hand are +1D (this affects Tokens being Attempted)
Christopher Daniels Manager	Advanced	ChristopherDanielsManager.png	N/a	N/a	3	Manager			Christopher Daniels Manager	Action - Commit : Look at top two cards of your Purchase Deck. Tuck one and place the other back on top.
Clumsy Opponent	Advanced	ClumsyOpponent.png	3	1	2	Response				Sudden  Reverse any maneuver with no printed abilities, High Risk, or is the second card played consecutively.  Enters - When played from hand draw a card.
Coffin Drop	Advanced	CoffinDrop.png	12	10	10	Strike	T		Darby Allin Wrestler	Finisher, Relentless  Enters - Create a Chaos token in your ring, add a Permanent counter to it.
Coffin Splash	Advanced	CoffinSplash.png	4	10	10	Strike	T	High Risk		Risky 3. Darby Allin - This does not have Risky.
Coin Drop	Advanced	CoinDrop.png	2	0	2	Action				Sudden, Permanent  Enters - Tuck up to one card from your Market. Refill your Market.
Comebacker Lariat	Advanced	ComebackerLariat.png	4	5	5	Strike	H	Lariat		Retaliate - Has Sudden and Relentless
Compassionate	Advanced	Compassionate.png	4	0	2	Action				Enters - Each player puts a card from their Ring into their discard, they also Tuck a card from their Market, refill each players Market.
Continental Championship	Advanced	ContinentalChampionship.png				Championship			Continental Championship	Your Starting Hand is +2. After you draw your opening hand, discard three cards.
Copeland Action	Advanced	CopelandAction.png	8	0	3	Action			Adam Copeland Wrestler	Ongoing - Cards in your discard have Relentless if a copy of that card is in your ring.  Enters - You may discard any number of cards, draw that many cards.
Copeland's Spear	Advanced	Copeland'sSpear.png	18	10	16	Strike	T		Adam Copeland Wrestler	Finisher  As you play this you may Commit a card in your Ring, you may then discard a copy of that card from your hand. This gets +ND, where N is their combined Momentum.
Courageous	Advanced	Courageous.png	6	0	4	Action				Resilient, Relentless. Enters - You may look at the top three cards of your Draw Deck. Tuck one, discard one, put one in your hand.   Patriarch Trigger - When discarded, Scout.
Cowboy Shit	Advanced	CowboyShit.png	4	0	2	Response			Adam Page Wrestler	Permanent. Reverse any maneuver. Response - Commit and discard a card to reduce the damage of the played maneuver by the discarded Momentum, this loses Permanent.
Crane Kick	Advanced	CraneKick.png	4	6	6	Strike	H	Kick		Combo Attack
Create-a-Wrestler Wrestler	Advanced	Create-a-wrestlerWrestler.png	N/a	N/a	3	Wrestler			Create a Wrestler Wrestler	For your Kit choose one non-Kit Maneuver, Action, and Response. Those gain your logo, the maneuver gains Finisher. You can not include additional copies of those cards.
Cross Arm Breaker	Advanced	CrossArmBreaker.png	12	8	8	Submission	A			Enters - Try to Submit Opponent, they can't use Strikes to defend against this.  Jon Moxley - You may also use maneuvers with Target: H to help submit.
Cross Punch	Advanced	CrossPunch.png	0	2	2	Strike	H	Punch		Combo Attack
Crossface Chicken Wing	Advanced	CrossfaceChickenWing.png	2	6	6	Submission	H,A			
Crowd Favorite	Advanced	CrowdFavorite.png	4	0	0	Action				Permanent. Action - Commit and choose one: -Gain 1 Stamina, then you may Cycle a card. OR -Attempt to Get a Pop, this loses Permanent.
Cunning Striker	Advanced	CunningStriker.png	6	0	2	Action				Tie-Up Enters - Play a Strike from hand or discard. If played from hand it gains Cunning Attack
Cut the Angle	Advanced	CutTheAngle.png	4	0	3	Response				Reverse any Action or Grapple
Cutter	Advanced	Cutter.png	6	9	6	Grapple	H			Hidden  +3D when played from outside your hand.  Turned - Create a Bell Ringer token and a Winded token in opponent's ring.
Daddy Magic	Advanced	DaddyMagic.png	N/a	N/a	2	Call Name			Daddy Magic	Ongoing - Your Market is +1 if it contains an Action card
Darby Allin Wrestler Back	Advanced	DarbyAllinWrestlerBack.png	N/a	N/a	5	Wrestler			Darby Allin Wrestler	Ongoing - Maneuvers are -1D against you.  Tie-Up Action - Commit: Play a maneuver from your discard.
Darby Allin Wrestler Front	Advanced	DarbyAllinWrestlerFront.png	N/a	N/a	2	Wrestler			Darby Allin Wrestler	Ongoing - Your cards with Resilient are +2M.  Trigger - When you become Staggered, flip this.
David Finley Wrestler	Advanced	DavidFinleyWrestler.png	N/a	N/a	3	Wrestler			David Finley Wrestler	Ongoing - Your cards with Aggressive are +1M.
Deadeye	Advanced	Deadeye.png	9	6	6	Grapple				Enters - Play a maneuver with T:T from your discard by paying for it. Hangman - Only need to pay half. Adam Page - It gains Power Attack.
Death Jitsu	Advanced	DeathJitsu.png	6	2	4	Action			Death Riders	Permanent  Ongoing - All Maneuvers are +1D and each Player's hand is +2.  Enters - Create a Chaos token in your ring.
Death Riders	Advanced	DeathRiders.png	N/a	N/a	2	Faction			Death Riders	Flip - Create two Chaos tokens in your ring. One of them gains Permanent this turn.
Death Valley Driver	Advanced	DeathValleyDriver.png	8	10	10	Grapple	H,T			Enters - Stun opponent then you may Tuck a card from your discard. If you do all opponent's committed cards lose Permanent.
Deep Technical Knowledge	Advanced	DeepTechnicalKnowledge.png	0	0	1	Action				(Technical Style Needed)  Permanent, Leverage
Demo God	Advanced	DemoGod.png	N/a	N/a	2	Call Name			Demo God	Your Starting Draw Deck may contain a 6C card.
Destination Unknown	Advanced	DestinationUnknown.png	16	10	10	Strike	H		Ruby Soho Wrestler	This is +1D for each token in your ring.  Finisher.   Ongoing - Your Tokens have Permanent.
Devoted	Advanced	Devoted.png	1	0	2	Action				Relentless. Enters - Discard the bottom card of your Draw deck then Scout.
Disarmer	Advanced	Disarmer.png	5	0	2	Action				Permanent. Ongoing - Your maneuvers with T:A are +1D.
Don Callis Family	Advanced	DonCallisFamily.png	N/a	N/a	3	Faction			Don Callis Family	Flip - Choose up to three cards from your discard. Tuck one, put one beneath your draw deck, put one in your hand. Don Callis - Pick a fourth card, and any of the three modes.
Double Hand Chop	Advanced	DoubleHandChop.png	1	2	3	Strike	T	Chop		Relentless, Focus Attack
Double Leg Takedown	Advanced	DoubleLegTakedown.png	5	3	3	Grapple	L	Setup		Relentless. Enters - You may discard a card. If you do, you may play a maneuver from your discard. If that card is reversed, put it beneath your draw deck.
Dunkzilla	Advanced	Dunkzilla.png	N/a	N/a	3	Call Name			Dunkzilla	Your Starting Draw Deck may contain up to 3C of cards.   Ongoing - Your tokens are +1M.
Dynamite Diamond Ring	Advanced	DynamiteDiamondRing.png				Championship			Dynamite Diamond Ring	After you set up your Market, search your Purchase Deck for up to two different actions that cost 1 or less and add them to your Market.
Educated Feet	Advanced	EducatedFeet.png	6	0	3	Action				Ongoing - Your Kicks are +2D. Tie-Up Enters - Give a Kick in your Market Sudden this turn, if you can't draw a card. Recovery Enters - Put up to two Kicks from your discard beneath your draw deck then gain 1 Stamina for each Kick in your ring.
El Clon Wrestler	Advanced	ElClonWrestler.png	N/a	N/a	4	Wrestler			El Clon Wrestler	Action - Commit : Create a copy of a token.
El Idolo	Advanced	ElIdolo.png	N/a	N/a		Call Name			El Idolo	Your starting deck may contain up to 3C in cards with Relentless and up to 3C in other cards.  Ongoing - The first card with Sudden you play from outside your hand each turn is -1C.
Elbow Lock	Advanced	ElbowLock.png	3	5	7	Submission	A			Enters - You may pay 5M. If you do, draw a card and gain 3 Stamina.
Elbow to the Face	Advanced	ElbowToTheFace.png	3	2	3	Response				Sudden.   Reverse any Maneuver of 8D or less.
Elevated	Advanced	Elevated.png	5	0	3	Action			Will Ospreay Wrestler	Hidden  Enters - You may look at the top four cards of your Purchase Deck and Tuck any of them. Put the rest back in any order.  Turned - Play the top card of your Purchase Deck face down. If it's reversed, Tuck it.
Enough of this Gay Banter	Advanced	EnoughOfThisGayBanter.png	4	0	2	Response				Reverse any Action. Enters - You may Tuck a non-maneuver card from your discard.  If you do, gain Stamina equal to it's Momentum.
Everest Couldn't Kill Me	Advanced	EverestCouldn'tKillMe.png	8	0	3	Action			Darby Allin Wrestler	Lingering 2  Can reverse any Action.  Ongoing - Maneuvers are -2D against you and lose all Damage bonuses.
Everybody Has a Plan	Advanced	EverybodyHasAPlan.png	3	0	2	Action				Enters - Look at the top N cards of your Draw Deck. Put one in your hand, discard the rest. N = Your Hold.
Exhaustion Sets In	Advanced	ExhaustionSetsIn.png	8	0	2	Action				Enters - Put a -1M Counter on all Permanent cards in the ring. Cards with 0M lose Permanent.
FACTION	Advanced	Faction.png	N/a	N/a	-	Faction			FACTION	THIS CARD IS FOR VISION PLAYTESTING.  This is for standing in your deck for a card you have designed. We're in Vision testing, so make whatever and try it out.
FACTION CARD	Advanced	FactionCard.png	-	-	-	Something				THIS CARD IS FOR VISION PLAYTESTING.  This is for standing in your deck for a card you have designed. We're in Vision testing, so make whatever and try it out.
Fake Handshake	Advanced	FakeHandshake.png	0	1	2	Grapple	A			Cunning Attack
Fall-Away Slam	Advanced	Fall-awaySlam.png	5	8	8	Grapple	T	Slam		Enters - If you have a Strike in your ring put up to two cards from your discard beneath your draw deck, if you have a Submission in your ring Stun Opponent then Scout.
Family Portrait	Advanced	FamilyPortrait.png	8	0	2	Action			Don Callis Family	Ongoing - Whenever you Tuck a card, opponent must also Tuck a card from their discard.
Father	Advanced	Father.png	0	0	1	Action				Enters - Look at the top two cards of your Draw deck. Put one in your hand, discard the rest.  The Patriarchy - You may look at an additional card. Christian Cage - You may look at an additional card.  Patriarch - You may look at an additional card.
Fatigue	Advanced	Fatigue.png	2	0	2	Action				Enters - Put two -1M counters on a non-persona card in Opponent's Ring. If that card has 0M, put it into opponent's discard pile.
Feed Off the Crowd	Advanced	FeedOffTheCrowd.png	4	0	3	Action		Pop		Permanent, Aggressive
Feeling Refreshed	Advanced	FeelingRefreshed.png	1	0	2	Action				Enters - Uncommit a card in your ring and gain 1 Stamina.
Feign	Advanced	Feign.png	6	0	3	Strike	-			Enters - Create a Sucker Punch token in your Market. Ongoing - Punches in your Market have Echo.
Fisherman's Suplex	Advanced	Fisherman'sSuplex.png	9	7	7	Grapple	T	Suplex		Enters - Choose up to one card from each Market. Tuck those cards.
Fist Bump	Advanced	FistBump.png	0	0	2	Action				Enters - Each player draws two cards.
Focused Submissionist	Advanced	FocusedSubmissionist.png	6	0	3	Action				Tie-Up Enters - Play a Submission from hand or discard. If played from hand it gains Focus Attack. If reversed being played from discard, put it beneath your draw deck.
For a Few Young Bucks More	Advanced	ForAFewYoungBucksMore.png	6	0	2	Action				Lingering 1  Ongoing - Choose a card in your Market. That card has Echo.  Ongoing - Your Hand is +1.
Force of Will	Advanced	ForceOfWill.png	5	0	3	Action				(Strong Style Needed x2) (Strong Style) Pressing, Resilient  Ongoing - Your Stun effects are doubled.   Ongoing - Has Permanent while Uncommited.
Forearm Shot	Advanced	ForearmShot.png	0	2	3	Strike	H			Enters - You may Tuck a card from your discard. If you do opponent loses 2 Stamina.
Forethought	Advanced	Forethought.png	0	0	1	Action				Uses 3. Action - Commit and remove a Use Counter: Scout
Forget	Advanced	Forget.png	0	0	0	Injury				Cards on here are returned to their owner's zone they came from when this ceases to exist.
Friend of the Shadows	Advanced	FriendOfTheShadows.png	3	0	1	Action				Hidden. Ongoing - Your face down cards have Permanent
Frightened	Advanced	Frightened.png	0	0	0	Injury				Ongoing - Your Hold is -1.  Enters - Place a card from your hand face up on this until this ceases to exist then put those cards on top of their owner's draw deck.
FTW Championship	Advanced	FtwChampionship.png				Championship			FTW Championship	(Brawler Style)  Create a Chaos token in your ring
Gallop	Advanced	Gallop.png	6	0	2	Action		Setup	Lio Rush Wrestler	Enters - Stun then Scare opponent. You may pay to play a maneuver from your discard. Free if a High Risk.
Generic Wrestler Action	Advanced	GenericWrestlerAction.png	4	0	2	Action			Generic Wrestler	Enters - Gain 2 Stamina and draw two cards.
Generic Wrestler Finisher	Advanced	GenericWrestlerFinisher.png	12	14	14	Maneuver			Generic Wrestler	Finisher
Generic Wrestler Response	Advanced	GenericWrestlerResponse.png	4	0	2	Response			Generic Wrestler	Reverse any card.
Generous	Advanced	Generous.png	5	0	2	Action				Sudden. Enters - Each player draws three cards and gains 3 Stamina.   The Patriarchy - Has Relentless.
Gimmick Infringement	Advanced	GimmickInfringement.png	6	0	2	Action				Enters - Choose a card in opponent's ring, Attempt a copy of that. Taz - That token gains Permanent this turn.
Go For a Cheap Pop	Advanced	GoForACheapPop.png	1	0	0	Action		Pop		Uses 4. Special - This is +1M for each Use Counter on it and when this becomes committed for any reason remove a Use Counter.
Good Instincts	Advanced	GoodInstincts.png	0	0	2	Action				Enters - You may tuck a card from your hand or discard. If you do, draw a card. If that card was from your hand, draw an additional card.
Graphics Mistake	Advanced	GraphicsMistake.png	6	0	3	Action				Enters - Opponent discards a card, then Tucks a card from both their discard and market.
GRAPPLE	Advanced	Grapple.png	-	-	-	Grapple				THIS CARD IS FOR VISION PLAYTESTING.  This is for standing in your deck for a card you have designed. We're in Vision testing, so make whatever and try it out.
Grit and Determination	Advanced	GritAndDetermination.png	10	0	3	Response				Resilient. Reverse any maneuver of 8D or more. Enters - Attempt to Rally The Crowd.
Grounding Leglock	Advanced	GroundingLeglock.png	4	3	3	Submission	L			Ongoing - Choose two cards in opponent's ring. They are -2M.
Half and Half Suplex	Advanced	HalfAndHalfSuplex.png	4	3	4	Grapple	T	Suplex		Focus Attack
Hangman	Advanced	Hangman.png	N/a	N/a	2	Call Name			Hangman	Your Starting Draw Deck may contain one copy of the card Running Lariat and up to 3 cost of other cards.
Headbutt	Advanced	Headbutt.png	2	4	4	Strike	H			Enters - Create a 4C Brain Fog token in Opponent's Market.   Boxer - This gains the Punch trait.
Headhunter	Advanced	Headhunter.png	5	0	2	Action				Permanent. Ongoing - Your maneuvers with T:H gain 'Enters - Stun opponent'.
Hi Guys!	Advanced	HiGuys!.png	2	0	2	Action				Sudden  Enters - Each player draws two cards, then opponent discards a card.  The Learning Tree - You may Scout either before or after drawing the cards.
Hidden Blade	Advanced	HiddenBlade.png	15	11	11	Strike	H		Will Ospreay Wrestler	Finisher, Hidden, Sneak Attack. Ongoing - Your cards have Hidden.
Hide Under the Ring	Advanced	HideUnderTheRing.png	2	0	2	Action				Hidden.  Ongoing - Your maneuvers played face down have Pressing
Hold Onto the Ropes	Advanced	HoldOntoTheRopes.png	6	0	4	Response				Rope Break, Resilient. Reverse any Submission, or Reverse any maneuver if you pay Momentum equal to its cost.
Homicidal, Suicidal, Genocidal	Advanced	Homicidal,Suicidal,Genocidal.png	N/a	N/a		Call Name				
How You Know?	Advanced	HowYouKnow?.png	6	0	3	Response			Andrade Wrestler	Sudden  Reverse any card. Special - If this would be Tucked instead put it back into your Market.
I Am Your Father	Advanced	IAmYourFather.png	4	0	3	Action			The Patriarchy	Ongoing - Your maneuvers played from outside your hand have Cunning Attack.  Enters - You may Attempt to Draw Heat.  Christian Cage Enters - Non-Maneuver cards in your Market gain Sudden this turn (this only gives this to cards currently in your Market)
I Break Bitches	Advanced	IBreakBitches.png	6	0	3	Response			Nyla Rose Wrestler	Reverse any maneuver.  Enters - Choose up to two maneuvers with no printed abilities in your discard, put one in your hand the other beneath your draw deck.
I Think That Just Made Him Mad	Advanced	IThinkThatJustMadeHimMad.png	6	0	10	Response				Resilient. This card can not be played.
I'm Better Than You...	Advanced	I'mBetterThanYou....png	6	0	4	Response			MJF Wrestler	Reverse any Action or Maneuver.  Enters - You may discard a card and/or tuck a card from your discard. Choose one for each: Draw a card or opponent discards a card. (If you do both you may pick both, if you only do one you only pick one)
Inspirational	Advanced	Inspirational.png	10	0	5	Action				Permanent, Resilient. Ongoing - Your Hand is +1.  The Patriarchy - When this is discarded, draw a card.
Inspired	Advanced	Inspired.png	0	0	1	Boon				Ongoing - Your Hand is +1.
Insult the Crowd	Advanced	InsultTheCrowd.png	3	0	8	Action				Lingering 1  Trigger - At the start of the Recovery Phase you may pay 2 Stamina. If you do, put a Lingering counter and a -1M on this card
International Championship	Advanced	InternationalChampionship.png				Championship			International Championship	After you draw your opening hand discard the top four cards of your Draw Deck. You may Tuck one to put another into your hand.
Iron	Advanced	Iron.png	N/a	N/a	3	Call Name		Boxer	Iron	Your starting draw deck may contain up to 4 cost of Punches and 3 cost of any other cards.
Jackhammer	Advanced	Jackhammer.png	12	7	7	Grapple	H,T	Suplex,Slam		Enters - Stun opponent then create a Forget token in their ring. They put two cards from their hand onto it, face down.
Jay Lethal Wrestler	Advanced	JayLethalWrestler.png	N/a	N/a	3	Wrestler			Jay Lethal Wrestler	Ongoing - Your cards with Uses and Lingering enter with an additional counter.
Jeff Cobb Wrestler	Advanced	JeffCobbWrestler.png	N/a	N/a	4	Wrestler			Jeff Cobb Wrestler	
Joe is Gonna Kill You	Advanced	JoeIsGonnaKillYou.png	5	0	2	Action			Samoa Joe Wrestler	Ready Enters - Draw two cards. Recovery Enters - You may tuck a  card from your discard. If you do search your Purchase Deck for a card that shares a type with the tucked card and put it in your Market. If you don't, your Hand is +2 this turn.
