Name	Type	Set 	Cost	Damage	Momentum	Target	Traits	Wrestler Kit	Signature For	Game Text	ImageFile
Standing Leg Lock	Submission	Core	2	4	2	L				Ongoing - Opponent's Strikes are +1C.	Standing Leg Lock
Standing Waist Lock	Submission	Core	2	4	2	T				Ongoing - Opponent's Submissions are +1C.	Standing Waist Lock
Wrist Lock	Submission	Core	2	2	3	A				Sudden, Permanent.  Enters - Gain 2 Stamina. 	Wrist Lock
Chain Wrestling	Action	Core	3	0	2		Set-up			Permanent. Tie-Up Action - Commit : Play a maneuver from your hand that shares a type with one in your ring. It gains 'Enters - Draw a card'. 	Chain Wrestling
Escape the Hold 	Response	Core	3	0	3					Reverse any Grapple or Submission 	Escape the Hold 
Perpetual Offensive Motion	Action	Core	3	0	2					Follow-Up - When played after a maneuver you may play a maneuver ith less damage from your hand or discard. if that maneuver is a strike it gains "Play - Draw a card"	Perpetual Offensive Motion
Quicken the Pace	Action	Core	3	0	1					Permanent. Ongoing - Each player gets +1 Hand.	Quicken the Pace
Shove Off	Response	Core	3	0	3					Reverse any Strike or Grapple	Shove Off
Skilled Grappler	Action	Core	3	0	1					Permanent. Ongoing - Your Grapple maneuvers have Cost -1.	Skilled Grappler
Skilled Striker	Action	Core	3	0	1					Permanent. Ongoing - Your Strike maneuvers have Cost -1.	Skilled Striker
Skilled Submissionist 	Action	Core	3	0	1					Permanent. Ongoing - Your Submission maneuvers have Cost -1.	Skilled Submissionist 
Sleeper	Submission	Core	3	6	6	H				Enters - Stun opponent. That card loses Permanent this turn.	Sleeper
Slip Away	Response	Core	3	0	3					Reverse any Strike or Submission 	Slip Away
Ankle Hook	Submission	Core	4	3	6	L				Focus Attack. Ongoing - Opponent's Kicks are -2D	Ankle Hook
Roundhouse to the Arm	Strike	Core	4	8	8	A	Kick				Roundhouse to the Arm
Short-Arm Clothesline	Strike	Core	4	7	7	A	Lariat			Permanent	Short-Arm Clothesline
Shoulder Block	Strike	Core	4	8	8	T					Shoulder Block
Work the Body	Strike	Core	4	7	7	T	Punch			Permanent	Work the Body
Wristlock Slam	Grapple	Core	4	4	4	A	Slam			Focus Attack 	Wristlock Slam
All Rounder	Action	Core	5	0	3					Enters - If you have a Strike in your ring, Scout. A Grapple in your ring, you may put up to one card from your discard beneath your draw deck. A Submission in your ring, you may Tuck up to two cards from your Discard. If you have all three, you may then Draw a card and gain 3 Stamina. 	All Rounder
Bow To Your Sensei	Response	Core	5	0	3			TRUE	Mike Bailey	Reverse any maneuver. Enters - You may put a Kick from your Discard beneath your draw deck. 	Bow To Your Sensei
Fujiwara Armbar	Submission	Core	5	6	6	A				Ongoing - Your opponents Strikes are Cost +1.	Fujiwara Armbar
German Suplex	Grapple	Core	5	8	8	H	Suplex			Enters - Opponent puts the top card of their draw deck and puts it into their market that card is +1 Cost this turn.	German Suplex
Goodbye And Good Night... 	Response	Core	5	0	5			TRUE	Kenny Omega 	Reverse any Card. Enters - You may discard a card. If you do gain 2 Stamina and draw two cards. 	Goodbye And Good Night... 
Heat Magnet	Action	Core	5	0	0					Permanent. Play - Draw a card. Ongoing - Your copies of Draw Heat gain Permanent.	Heat Magnent
Heighten the Drama	Action	Core	5	0	1				Toni Storm	Enters - Choose one: Attempt to Draw Heat, or Attempt to Get a Pop, or Attempt to Slap Opponent, or Attempt to Intimidate Opponent.  Toni Storm - The Token created gains 'Enters - Choose another option from Heighten the Drama. 	Heighten the Drama
Leg Kick	Strike	Core	5	8	6	L	Kick				Leg Kick
Roundhouse Kick	Strike	Core	5	10	8	H	Kick				Roundhouse Kick
Strategic Beatdown	Action	Core	5	0	2					Recovery Enters - Choose up to two non-response cards in your discard pile. Put up to one in your hand put the rest beneath either your draw deck or purchase deck.	Strategic Beatdown
Superkick	Strike	Core	5	7	7	H	Kick			Enters - Opponent discards a card.	Superkick
Swerve's House	Response	Core	5	0	5			TRUE	Swerve Strickland	Reverse any Card.  Enters - Look at the top three cards of your Draw Deck you may discard any of them. Put the rest back on top of your Draw Deck in any order. 	Swerve's House
Unscripted Violence	Response	Core	5	0	3			TRUE	Jon Moxley 	Reverse any maneuver. Enters - Reveal your hand to your opponent and they choose a maneuver from it. Play that maneuver, it can't be reversed but deals half damage (round up). 	Unscripted Violence
Will of the Invisible Hand	Action	Core	5	0	2				Don Callis	Enters - Draw a card and Attempt to Draw Heat. Ready - Draw an addiontional card. Don Callis - When discarded to an ability you control gain 1 Stamina and you may Tuck a card from your Discard 	Will of the Invisible Hand
Arm Wringer 	Submission	Core	6	6	6	A				Ongoing - Your maneuvers with T:A are +2D.	Arm Wringer 
Backbreaker	Grapple	Core	6	6	6	T				Enters - Stun opponent.	Backbreaker
Bear Hug	Submission	Core	6	6	6	T				Ongoing - Your maneuvers with T:T are +2D.	Bear Hug
Crippling Chop Block	Strike	Core	6	8	6	L				Permanent	Crippling Chop Block
Discuss Punch	Strike	Core	6	10	10	H	Punch				Discuss Punch
Grinding Halt	Action	Core	6	0	3					Ongoing - While uncommitted, maneuvers played from outside a player's hand non-cumulatively deal half damage, rounded up.	Grinding Halt
Highly Consistent	Action	Core	6	0	2					Permanent. Ongoing - Maneuvers that share a name with a card in your ring are +2D.	Highly Consistent
Missile Dropkick	Strike	Core	6	5	8	T	High Risk, Kick			Enters - Opponent discards a card. Follow-Up - +5D.	Missile Dropkick
Neck Wringer	Submission	Core	6	6	6	T				Ongoing - Your maneuvers with T:H are +2D.	Neck Wringer
Powerslam	Grapple 	Core	6	10	6	T	Slam			Permanent. 	Powerslam
Solbut	Strike	Core	6	6	4	T	Kick			Permanent. 	Solbut
Spinning Back Fist	Strike	Core	6	8*	12	H				*+2D for each maneuver in your ring with T: H	Spinning Back Fist
Stump Puller	Submission	Core	6	6	6	L				Ongoing - Your maneuvers with T:L are +2D.	Stump Puller
Taekwondo Master 	Action	Core	6	0	5			TRUE	Mike Bailey	Ongoing - Your Kicks are +2D. Enters - You may discard a card, if you do Play a Kick from your Discard. Otherwise Scout then draw a card. 	Taekwondo Master 
Thumbs Down 	Response	Core	6	3	3			TRUE	Bobby Lashley 	Power Attack. Reverse any maneuver. 	Thumbs Down 
And Watch for the Shoe	Response	Core	7	0	5			TRUE	Toni Storm	Reverse any maneuver. Ongoing - Your Action cards are +1D	And Watch for the Shoe
Chin Up, Tits Out	Action	Core	7	0	2			TRUE	Toni Storm	Enters - Gain 4 Stamina then choose up to one Action card and up to one Maneuver from your discard. Put one of them into your hand, you may then play the other.	Chin Up, Tits Out
Knee Breaker	Grapple	Core	7	6	4	L				Enters - Choose a card opponent's market, discard, and Ring. They Tuck one of those cards. 	Knee Breaker
Torkneedo	Strike	Core	7	10	10	H	High Risk			Enters - Opponent discards a card and you may draw a card. 	Torkneedo
Amateurs	Action	Core	8	0	4					Ready Enters - Opponent may discard a maneuver with cost 5 or greater. If they do not, they discard two cards.	Amateurs
Clothesline	Strike	Core	8	8	4	T	Lariat			Power Attack. Enters - Opponent discards a card.	Clothesline
Had It Scouted	Response	Core	8	0	2					Reverse any Maneuver.	Had It Scouted
Key Lock	Submission	Core	8	4	4	A				Ongoing - Choose a card in opponent's market. They can't purchase that card. 	Key Lock
Overhead Belly-to-Belly Suplex	Grapple	Core	8	10	8	T	Suplex				Overhead Belly-to-Belly Suplex
Purveyor of Violence 	Action	Core	8	0	4			TRUE	Jon Moxley 	Enters - Reveal your the top six cards of your draw deck and pick a card from among them. Put that card into your hand then your opponent picks a maneuver from the remaining cards, play that maneuver. Discard the cards that are left. 	Purveyor of Violence 
Single Leg Crab	Submission	Core	8	7	7	L				Ongoing - Opponent's market is -1.	Single Leg Crab
Whose House?	Action	Core	8	0	3			TRUE	Swerve Strickland	Enters - Choose up to three cards from your discard and for each put it beneath your draw deck or purchase deck. Look at the top three cards of your Draw deck, you may play one of those cards, discard the rest. 	Whose House?
Bulldog Choke	Submission	Core	10	10	10	H				Ongoing - Opponent's Hand is -1. Jon Moxley - Damage +3.	Bulldog Choke
DDT	Grapple	Core	10	8	8	H	DDT			Enters - Choose a card in hit opponent's ring. Put that card into their discard.	DDT
Dominating Presence	Action	Core	10	0	3			TRUE	Bobby Lashley 	Relentless. Ongoing - Your maneuvers are +2D and Opponent's Hold is -1.	Dominating Presence
I Must Bid You Adieu	Action	Core	10	0	3			TRUE	Kenny Omega 	Enters - Opponent discards a card, you may put up to two cards from your discard beneath your draw deck, you may put up to two cards from your Market beneath your purchase deck (replace), draw a card, and gain 3 Stamina. 	I Must Bid You Adieu
Pounce	Strike	Core	10	14	10	T					Pounce
Top-Rope Splash	Strike	Core	10	10	10	T	High Risk			Power Attack 	Top-Rope Splash
World Class Endurance	Action	Core	10	0	5					Resilient. Recovery Enters - Shuffle up to five cards from your discard into your draw deck. Gain 5 Stamina.	World Class Endurance
Chokeslam	Grapple	Core	12	12	12	H	Slam				Chokeslam
Ultima Weapon	Strike	Core	12	15	15		High Risk	TRUE	Mike Bailey	Finisher.  Enters - You may put any number of Kicks from your discard pile beneath your draw deck. 	Ultima Weapon
V-Trigger	Strike	Core	12	10	13	H			Kenny Omega	Kenny Omega - -4 Cost, Follow-Up - Enters - Opponent discards a card.	V-Trigger
Avalanche Brainbuster	Grapple	Core	14	12	12	H	High Risk, Suplex			Enters - Your opponent discards two cards.	Avalanche Brainbuster
House Call	Strike	Core	15	10	15	H	Kick	TRUE	Swerve Strickland	Finisher. Enters - Opponent Tucks a card from their hand. 	House Call
Paradigm Shift 	Grapple	Core	15	10*	15	H	DDT	TRUE	Jon Moxley 	*+1D for each maneuver in your ring. Finisher. Ongoing - Your hand is +1.	Paradigm Shift 
Piledriver	Grapple	Core	15	10	10	H				Enters - Opponent discards a card.	Piledriver
Figure Four Leg Lock	Submission	Core	16	12	12	L					Figure Four Leg Lock
Storm Zero	Grapple	Core	16	10	10	H		TRUE	Toni Storm	Finisher. This is +1D for each Action card in your ring.	Storm Zero
The Hurt Lock	Submission	Core	18	12	12	H		TRUE	Bobby Lashley	Finisher, Focus Attack 	The Hurt Lock
One Winged Angel 	Grapple	Core	20	20	20	H		TRUE	Kenny Omega 	Finisher	One Winged Angel 
Bobby Lashley	Wrestler	Core			5			TRUE	Bobby Lashley	Tie-Up Action - Commit : Play a maneuver from your hand. It gains "Enters - Draw two cards." 	Bobby Lashley
Don Callis	Manager	Core			3					Ready Action - Commit and discard an Action card from your hand : Draw two cards.	Don Callis
Jon Moxley	Wrestler	Core			5			TRUE	Jon Moxley 	Tie-Up Action - Commit : play a maneuver from your hand, it is +5D.	Jon Moxley
Kenny Omega	Wrestler	Core			5			TRUE	Kenny Omega	Ready Action - Commit : Discard a card then draw two cards. 	Kenny Omega
Luthor	Manager	Core			2					Recovery Action - Commit and choose an Action in your Ring. It gains Permanent this turn. 	Luthor
Marina Shafir 	Manager	Core			4					Tie-Up Action - Commit - Play a maneuver from your hand, it gets +1D and gains 'Enters - Scout, then draw a card' 	Marina Shafir 
Mike Bailey	Wrestler	Core			3			TRUE	Mike Bailey	Tie-Up Action - Commit : Attempt to Kick opponent, it gains Permanent this turn. 	Mike Bailey
MVP	Manager 	Core			2					Recovery Action - Commit : Put a maneuver with cost 4 or less from your discard beneath your draw deck.	MVP
Prince Nana	Manager	Core			2					Ready Action - Commit and discard the top two cards of your draw deck. If a maneuver is discarded this way draw a card and gain 2 Stamina. 	Prince Nana
Swerve Strickland	Wrestler	Core			5			TRUE	Swerve Strickland	Recovery Action - Commit : put a card from your discard pile under your draw deck. 	Swerve Strickland
Toni Storm	Wrestler	Core			5			TRUE	Toni Storm 	Recovery Action - Commit : Put up to two action cards from you discard benath your draw deck.	Toni Storm
Winded	Injury	Advanced	0		0					Ongoing - Your Hold is -1	Winded
World's Most Dangerous Slam	Grapple	Advanced	18	16	16	T	Slam	TRUE	Will Hobbs	Ongoing - Your maneuvers with no printed abilities are +3D. Enters - You may have this gain Permanent this turn. 	World's Most Dangerous Slam
Baddest Uppercut on the Planet	Strike	Advanced	20	16	16	H	Punch	TRUE	Mike Tyson	Finisher. Enters - If your Uncommited momentum from only other Punches is higher than your opponent's stamina, you win the game via Knockout. 	Baddest Uppercut on the Planet
Muscle Buster	Grapple	Advanced	20*	14	14	H		TRUE	Samoa Joe 	*Costs half when played from a location other than your hand (like from being granted Sudden or Relentless, or any other effect that tells you to play by paying) 	Muscle Buster
Tazmission	Submission	Advanced	18	13	13	H		TRUE	Taz	Finisher.  Enters - Try to Submit Opponent, any Suplex can add to this. 	
Buckshot Lariat	Strike	Advanced	10	12	12			TRUE	Adam Page	Finisher. Follow-Up - Has Sudden and Relentless. 	Buckshot Lariat
Rainmaker	Strike	Advanced	16	12	12	H	Lariat	TRUE	Kazuchika Okada 	Enters - You may shuffle your Discard, Market, and Purchase Deck into your Draw Deck. If you don't, your Hand, Hold, and Market are all +2 this turn. 	Rainmaker
Hidden Blade	Strike	Advanced	15	11	11	H		TRUE	Will Ospreay	Finisher, Hidden, Stealth Attack. Ongoing - Your cards have Hidden. 	Hidden Blade
Coffin Splash	Strike	Advanced	4	10	10	T	High Risk			Risky 3. Darby Allin - This does not have Risky. 	Coffin Splash
Powerbomb	Grapple	Advanced	9	10	10	T	Slam			Enters - Create a Winded token in your opponent's ring and a Beast token in your ring. Choose one of those to gain Permanent this turn.	Powerbomb
Scorpion Deathlock	Submission	Advanced 	10	10	10	L				Focus Attack	Scorpion Deathlock
Destination Unknown	Strike	Advanced	16	10	10	H		TRUE	Ruby Soho	This is +1D for each token in your ring.  Finisher.   Ongoing - Your Tokens have Permanent. 	Destination Unknown
Running Boot	Strike	Advanced	4	9	9	H	High Risk, Kick				Running Boot
Fall-Away Slam	Grapple	Advanced	5	8	8	T	Slam			Enters - If you have a Strike in your ring put up to two cards from your discard beneath your draw deck, if you have a Submission in your ring Stun Opponent then Scout. 	Fall-Away Slam
Cross Arm Breaker	Submission	Advanced	12	8	8	A				Enters - Try to Submit Opponent. 	Cross Arm Breaker
Rear Naked Choke	Submission	Advanced	12	8	8	H				Enters - Try to Submit Opponent 	Rear Naked Choke
Torture Rack 	Submission	Advanced	12	8	8	T				Ongoing - Opponent's Market is -2.	Torture Rack 
Body Scissors	Submission	Advanced	7	7	7	T					Body Scissors
Fisherman's Suplex 	Grapple	Advanced	9	7	7	T	Suplex			Enters - Choose up to one card from each Market. Tuck those cards. 	Fisherman's Suplex 
Crossface Chicken Wing	Submission	Advanced	2	6	6	-				Targets both Head and Arm (this card is considered to have no text as the Target icon would just have both targets) 	Crossface Chicken Wing
Lariat	Strike	Advanced	2	6	6	T	Lariat			Enters - Stun opponent. 	Lariat
Side Kick	Strike	Advanced	2	6	6	T	Kick				Side Kick
Samoan Drop	Grapple	Advanced	3	6	6	T				This is +1D for each maneuver type in your ring (Strike, Grapple, Submission) 	Samoan Drop
Chinlock	Submission	Advanced	4	6	6	H				Ongoing - To play Action cards opponent must either pay for them or Discard a card. 	Chinlock
Crane Kick	Strike	Advanced	4	6	6	H	Kick			Combo Attack	Crane Kick
Snap Dragon Suplex	Grapple	Advanced	6	6	6	H	Suplex		Kenny Omega 	Sudden. Kenny Omega - Cost -2.	Snap Dragon Suplex
Vertical Suplex	Grapple	Advanced	6	6	6	T	Suplex			Can Reverse any Suplex. 	Vertical Suplex
Arm Breaker	Grapple	Advanced	8	6	6	A				Relentless	Arm Breaker
Shoulder Capture Suplex	Grapple	Advanced	8	6	4		Suplex			Can Reverse any Kick	Shoulder Capture Suplex
T-Bone Suplex	Grapple	Advanced	8	6	4		Suplex			Can Reverse any Punch	T-Bone Suplex
Deadeye 	Grapple	Advanced	9	6	6					Enters - Play a maneuver with T:T from your discard by paying for it. Hangman - Only need to pay half. Adam Page - It gains Power Attack. 	Deadeye 
Styles Clash 	Grapple	Advanced	12	6	10	T				Resilient 	Styles Clash 
Kick His Fucking Head In 	Maneuver	Advanced	13	6	6			TRUE	Blackpool Combat Club	Finisher, Power Attack, Focus Attack. This has all maneuver types and all Targets.	Kick His Fucking Head In 
Tarantula	Submission	Advanced	2	5	5	-				Illegal, Rope Break, Resilient	Tarantula
Elbow Lock	Submission	Advanced	3	5	7	A				Enters - You may pay 5M. If you do, draw a card and gain 3 Stamina. 	Arm Wringer
The 'Ol One-Two	Strike	Advanced	3	5	5	H	Punch		Anthony Ogogo	Anthony Ogogo - -1C. Enters - Play a Punch from your Hand or Discard, if it costs 3 or less, it gains Combo Attack. 	The 'Ol One-Two
Running Lariat	Strike	Advanced	4	5	5	T				Enters - Stun opponent. Hangman Enters - Scout	Running Lariat
Bridging German Suplex	Grapple	Advanced	9	5	5	T	Suplex			Enters - Try to Pin opponent.   Capitalize - If this was played after Drop Step this is +4M for this Pin. 	Bridging German Suplex
Last Supper	Grapple	Advanced	13	5	5	T				Can Reverse any card if it is at least the second card played consecutively. Enters - Try to Pin opponent 	Last Supper
Suplex	Grapple	Advanced	0	4	3	T	Suplex				Suplex
Arm Scissor	Submission	Advanced	2	4	4	A				Ongoing - Opponent's maneuvers played from outside their hand deal half damage (round up)	Arm Scissor
Headbutt	Strike	Advanced	2	4	4	H			Boxer	Enters - Create a 4C Brain Fog token in Opponent's Market.   Boxer - This gains the Punch trait. 	Headbutt
Mongolian Chop	Strike	Advanced	2	4	4		Chop			Sudden, Relentless	Mongolian Chop
Trick Punch	Strike	Advanced	2	4	4	H	Punch			Has Echo and Sudden while you have A Punch in your ring	Trick Punch
Sucker Punch 	Strike	Advanced	4	4	4	H	Punch			Sudden, Focus Attack	Sucker Punch 
Taekwondo Head Kick	Strike	Advanced	5	4	4	H	Kick			Sudden, Permanent	Taekwondo Head Kick
Boston Crab	Submission	Advanced	8	4	4	T				Trigger - After opponent plays an Action card, Stun them. 	Boston Crab
Blindsided Punch	Strike	Advanced	0	3	3	H	Punch			Hidden.  Turned - Stun opponent 	Blindsided Punch
Forearm Shot	Strike	Advanced	0	3	1	H					Forearm Shot
Knife Edge Chop	Strike	Advanced	0	3	1	T	Chop			Relentless, Permanent 	Knife Edge Chop
Snap Leg Kick	Strike	Advanced	0	3	2	L	Kick		Speedball	Ongoing - Your Kicks are -1C. Speedball Enters - This gains Permanent this turn. 	Snap Leg Kick
Backhand Chop	Strike	Advanced	1	3	2	T	Chop			Sudden, Combo Attack	Backhand Chop
Rear Hook	Strike	Advanced	1	3	4	H	Punch			Combo Attack	Rear Hook
Swift Chop	Strike	Advanced	1	3	3	T	Chop			Sudden. Special - When this enters your Market it gains Echo this turn	Swift Chop
Persistent Chop	Strike	Advanced	2	3	3	T	Chop			Resilient, Relentless 	Persistent Chop
Double Leg Takedown	Grapple	Advanced	5	3	3	L	Set-up			Relentless. Enters - You may discard a card. If you do, you may play a maneuver from your discard. If that card is reversed, put it beneath your draw deck. 	Double Leg Takedown
School Boy	Grapple	Advanced	11	3	3	T				Can Reverse any maneuver with an Enters ability. Enters - Try to Pin opponent. 	School Boy
Ankle Lock	Submission	Advanced	0	2	2	L				Focus Attack 	Ankle Lock
Charging Lariat 	Strike	Advanced	0	2	3	T	Lariat			Power Attack 	Charging Lariat 
Cross Punch	Strike	Advanced	0	2	2	H	Punch			Combo Attack	Cross Punch
Lead Hook	Strike	Advanced	0	2	2	H	Punch		Iron	Ongoing - Your Punches are -1C. Iron Enters - This gains Permanent this turn. 	Lead Hook
Open Hand Chop	Strike	Advanced	0	2	2	T	Chop			Relentless. Enters - Stun opponent. 	Open Hand Chop
Payback Chop	Strike	Advanced 	0	2	3	T				Retaliate - +3D	Payback Chop
Double Hand Chop	Strike	Advanced	1	2	3	T	Chop			Relentless, Focus Attack 	Double Hand Chop
Kickboxing Jab Combo	Strike	Advanced	2	2	2	H	Punch			Enters - Stun opponent then Attempt to Front Kick them. 	Kickboxing Jab Combo
Repeated Disrespect	Strike	Advanced	2	2	2	H				Hidden. Turned - Put a charge counter on this, turn it face down again. This gains Permanent this turn.  Special - This is +1C/+1D for each counter on this. 	Repeated Disrespect
Sweep	Strike	Advanced 	4	2	3	L	Kick, Set-up			Enters - Play a High Risk from your discard by paying for it.   Capitalize - The High Risk may come from your Market. 	Sweep
Ogogo Reversal	Response	Advanced	5	2	3			TRUE	Anthony Ogogo	Reverse any maneuver. Enters - You may play a Punch from your Discard or Market with cost less than our equal to the cost of the reversed card. 	Ogogo Reversal
Bite the Ear	Response	Advanced	6	2	3		Punch	TRUE	Mike Tyson	Reverse any maneuver. Ongoing - Your Punches are +2D. 	Bite the Ear
Roll Up	Grapple	Advanced	9	2	3	T				Follow-Up - Try to Pin opponent	Roll Up
Low Effort Kick	Strike	Advanced 	2	2	6	L				(Sloth needed) Enters - Opponent discards a card.  Staggered - They discard two instead. 	Low Effort Kick
Fake Handshake	Grapple	Advanced	0	1	2	A				Cunning Attack 	Fake Handshake
Punch	Strike	Advanced	0	1	3	H	Punch				Punch
Lateral Press	Grapple	Advanced	7	1	2	T	Set-up			Enters - Try to Pin opponent 	Lateral Press
