Name	Type	Set 	Cost	Damage	Momentum	Target	Traits	Wrestler Kit	Signature For	Game Text	ImageFile
Chin Up, Tits Out	Action	Core	7	0	2			TRUE	Toni Storm Wrestler	Enters - Gain 4 Stamina then choose up to one Action card and up to one Maneuver from your discard. Put one of them into your hand, you may then play the other.	Chin Up, Tits Out
Chokeslam	Grapple	Core	12	12	12	H	Slam				Chokeslam
Chop	Strike	Core	0	1	1	T	Chop			Enters - Scout	Chop
Circle Opponent	Action	Core	0	0	1					Ready Enters - Draw two cards then discard a card. Tie-Up Play - Play a maneuver with cost 2 or less from your discard.	Circle Opponent
Clothesline	Strike	Core	8	8	4	T	Lariat			Power Attack. Enters - Opponent discards a card.	Clothesline
Collar and Elbow Lockup	Grapple	Core	0	3	3	-				Enters - Look at the top card of your draw deck, you may discard that. Then both players draw two cards. 	Collar and Elbow Lockup
Crippling Chop Block	Strike	Core	6	8	6	L				Permanent	Crippling Chop Block
DDT	Grapple	Core	10	8	8	H	DDT			Enters - Choose a card in hit opponent's ring. Put that card into their discard.	DDT
Discuss Punch	Strike	Core	6	10	10	H	Punch				Discuss Punch
Dominating Presence	Action	Core	10	0	3			TRUE	Bobby Lashley Wrestler	Relentless. Ongoing - Your maneuvers are +2D and Opponent's Hold is -1.	Dominating Presence
Don Callis	Manager	Core			3					Ready Action - Commit and discard an Action card from your hand : Draw two cards.	Don Callis
Draw Heat	Action	Core	0	0	5						Draw Heat
Drop Step	Response	Core	0	0	2					Reverse any maneuver of 4D or less. Enters - Draw a card 	Drop Step
Drop Toe Hold	Grapple	Core	2	5	5	T				Enters - If you have a Strike in your ring, Stun opponent.	Drop Toe Hold
Escape the Hold 	Response	Core	3	0	3					Reverse any Grapple or Submission 	Escape the Hold 
European Uppercut	Strike	Core	0	5	3	T				Enters - Discard the top two cards of your Draw deck	European Uppercut
Figure Four Leg Lock	Submission	Core	16	12	12	L					Figure Four Leg Lock
Fireman's Carry	Grapple	Core	2	4	4	T				Enters - You may put up to one card from your discard beneath your draw deck.	Fireman's Carry
Flying Head Scissors	Grapple	Core	2	7	7	H	High Risk				Flying Head Scissors
Front Chancery	Submission	Core	0	3	3	H				Ongoing -Your Hand is +1. Enters - Gain 2 Stamina. 	Front Chancery
Front Kick	Strike	Core	0	4	4	T	Kick				Front Kick
Fujiwara Armbar	Submission	Core	5	6	6	A				Ongoing - Your opponents Strikes are Cost +1.	Fujiwara Armbar
German Suplex	Grapple	Core	5	8	8	H	Suplex			Enters - Opponent puts the top card of their draw deck and puts it into their market that card is +1 Cost this turn.	German Suplex
Get a Pop	Action	Core	0	0	2					Permanent.	Get a Pop
Goodbye And Good Night... 	Response	Core	5	0	5			TRUE	Kenny Omega Wrestler	Reverse any Card. Enters - You may discard a card. If you do gain 2 Stamina and draw two cards. 	Goodbye And Good Night... 
Grab the Mic	Action	Core	1	0	0					Sudden. Enters - Scout then choose one: Attempt to Draw Heat or Attempt to Get a Pop 	Grab the Mic
Grinding Halt	Action	Core	6	0	3					Ongoing - While uncommitted, maneuvers played from outside a player's hand non-cumulatively deal half damage, rounded up.	Grinding Halt
Grounded Body Scissors	Submission	Core	1	3	3	T				Ongoing - Non-Maneuver cards in Opponent's Market are +2C.	Grounded Body Scissors
Grounded Hammer Lock	Submission	Core	1	3	3	A				Ongoing - Choose a card in Opponent's Market. They can't purchase or play that card. (You may pick Kit cards) 	Grounded Hammer Lock
Grounded Headlock	Submission	Core	1	3	3	H				Ongoing - Choose a Non-Signature card in Opponent's Ring. That card loses all abilities except Permanent. It has 0M.	Grounded Headlock
Had It Scouted	Response	Core	8	0	2					Reverse any Maneuver.	Had It Scouted
Hammerlock	Submission	Core	0	3	3	A				Enters - Gain 2 Stamina. Ongoing - Opponent's Punches are -1D.	Hammerlock
Haymaker	Strike	Core	2	5	3	H	Punch			Power Attack	Haymaker
Headlock Takedown	Grapple	Core	0	2	2	H	Set-up			Enters - You may play a submission with Target: H from your hand or discard. If played from discard and is unsuccessful put it beneath your draw deck.	Headlock Takedown
Heat Magnet	Action	Core	5	0	0					Permanent. Play - Draw a card. Ongoing - Your copies of Draw Heat gain Permanent.	Heat Magnent
Heighten the Drama	Action	Core	5	0	1				Toni Storm	Enters - Choose one: Attempt to Draw Heat, or Attempt to Get a Pop, or Attempt to Slap Opponent, or Attempt to Intimidate Opponent.  Toni Storm - The Token created gains 'Enters - Choose another option from Heighten the Drama. 	Heighten the Drama
Highly Consistent	Action	Core	6	0	2					Permanent. Ongoing - Maneuvers that share a name with a card in your ring are +2D.	Highly Consistent
Hip Toss	Grapple	Core	0	4	2	T				Permanent (This card is not removed from play as turns end)	Hip Toss
House Call	Strike	Core	15	10	15	H	Kick	TRUE	Swerve Strickland Wrestler	Finisher. Enters - Opponent Tucks a card from their hand. 	House Call
I Digress	Action	Core	1	0	2					Enters - You may discard up to two cards. Place up to that many cards from your discard beneath your draw deck then draw that many cards and gain that much Stamina.	I Digress
I Must Bid You Adieu	Action	Core	10	0	3			TRUE	Kenny Omega Wrestler	Enters - Opponent discards a card, you may put up to two cards from your discard beneath your draw deck, you may put up to two cards from your Market beneath your purchase deck (replace), draw a card, and gain 3 Stamina. 	I Must Bid You Adieu
Intimidate Opponent	Action	Core	1	0	2					Enters - Opponent discards a card.	Intimidate Opponent
Irish Whip	Action	Core	0	0	2		Set-up			Tie-Up Enters - Look at the top three cards of your Draw Deck, you may play a maneuver from among them. Discard the rest. 	Irish Whip
Jab	Strike	Core	0	2	3	H	Punch			Enters - You may play a strike from your discard by paying for it. Free if a Punch.	Jab
Jon Moxley Wrestler	Wrestler	Core			5			TRUE	Jon Moxley Wrestler	Tie-Up Action - Commit : play a maneuver from your hand, it is +5D.	Jon Moxley
Kenny Omega Wrestler	Wrestler	Core			5			TRUE	Kenny Omega Wrestler	Ready Action - Commit : Discard a card then draw two cards. 	Kenny Omega
Key Lock	Submission	Core	8	4	4	A				Ongoing - Choose a card in opponent's market. They can't purchase that card. 	Key Lock
Kick	Strike	Core	0	2	2	T	Kick				Kick
Knee Bar	Submission	Core	1	5	3	L				Permanent. Enters - Gain 2 Stamina	Knee Bar
Knee Breaker	Grapple	Core	7	6	4	L				Enters - Choose a card opponent's market, discard, and Ring. They Tuck one of those cards. 	Knee Breaker
Kneelock	Submission	Core	2	3	6	L					Kneelock
Leg Kick	Strike	Core	5	8	6	L	Kick				Leg Kick
Luthor	Manager	Core			2					Recovery Action - Commit and choose an Action in your Ring. It gains Permanent this turn. 	Luthor
Marina Shafir 	Manager	Core			4					Tie-Up Action - Commit - Play a maneuver from your hand, it gets +1D and gains 'Enters - Scout, then draw a card' 	Marina Shafir 
Mike Bailey Wrestler	Wrestler	Core			3			TRUE	Mike Bailey Wrestler	Tie-Up Action - Commit : Attempt to Kick opponent, it gains Permanent this turn. 	Mike Bailey
Missile Dropkick	Strike	Core	6	5	8	T	High Risk, Kick			Enters - Opponent discards a card. Follow-Up - +5D.	Missile Dropkick
Mounted Punches	Strike	Core	1	2	3	H	Punch			Permanent. Follow-Up - Power Attack.	Mounted Punches
MVP	Manager 	Core			2					Recovery Action - Commit : Put a maneuver with cost 4 or less from your discard beneath your draw deck.	MVP
Neck Wringer	Submission	Core	6	6	6	T				Ongoing - Your maneuvers with T:H are +2D.	Neck Wringer
One Winged Angel 	Grapple	Core	20	20	20	H		TRUE	Kenny Omega Wrestler	Finisher	One Winged Angel 
Opening Jab	Strike	Core	2	3*	3	H	Punch			*If this is your first maneuver this turn, this is +3D.	Opening Jab
Overhand Punch	Strike	Core	0	3	6	H	Punch				Overhand Punch
Overhand Wrist Lock	Submission	Core	0	3	3	A					Overhand Wrist Lock
Overhead Belly-to-Belly Suplex	Grapple	Core	8	10	8	T	Suplex				Overhead Belly-to-Belly Suplex
Paradigm Shift 	Grapple	Core	15	10*	15	H	DDT	TRUE	Jon Moxley Wrestler	*+1D for each maneuver in your ring. Finisher. Ongoing - Your hand is +1.	Paradigm Shift 
Perpetual Offensive Motion	Action	Core	3	0	2					Follow-Up - When played after a maneuver you may play a maneuver ith less damage from your hand or discard. if that maneuver is a strike it gains "Play - Draw a card"	Perpetual Offensive Motion
Piledriver	Grapple	Core	15	10	10	H				Enters - Opponent discards a card.	Piledriver
Pounce	Strike	Core	10	14	10	T					Pounce
Powerslam	Grapple 	Core	6	10	6	T	Slam			Permanent. 	Powerslam
Prince Nana	Manager	Core			2					Ready Action - Commit and discard the top two cards of your draw deck. If a maneuver is discarded this way draw a card and gain 2 Stamina. 	Prince Nana
Purveyor of Violence 	Action	Core	8	0	4			TRUE	Jon Moxley Wrestler	Enters - Reveal your the top six cards of your draw deck and pick a card from among them. Put that card into your hand then your opponent picks a maneuver from the remaining cards, play that maneuver. Discard the cards that are left. 	Purveyor of Violence 
Quick Thinking	Action	Core	0	0	3					Enters - Discard a card then draw two cards. 	Quick Thinking
Quicken the Pace	Action	Core	3	0	1					Permanent. Ongoing - Each player gets +1 Hand.	Quicken the Pace
Reach the Ropes	Response	Core	0	0	2					Reverse any Submission.	Reach the Ropes
Ready For a Fight	Action	Core	0	0	2					Ready Enters - Draw a card. Ongoing - Your maneuvers are +!D.	Ready For a Fight
Rookie Mistake 	Response	Core	0	0	2					Permanent. Reverse any 0 Cost card. 	Rookie Mistake 
Roundhouse Kick	Strike	Core	5	10	8	H	Kick				Roundhouse Kick
Roundhouse to the Arm	Strike	Core	4	8	8	A	Kick				Roundhouse to the Arm
Rude Interruption	Response	Core	0	0	2					Reverse any Action	Rude Interruption
Running Clothesline	Strike	Core	1	5	5	T	Lariat				Running Clothesline
Short-Arm Clothesline	Strike	Core	4	7	7	A	Lariat			Permanent	Short-Arm Clothesline
Shoulder Block	Strike	Core	4	8	8	T					Shoulder Block
Shove Off	Response	Core	3	0	3					Reverse any Strike or Grapple	Shove Off
Showoff Lock	Submission	Core	1	1	1	-				Enters - Choose one: Attempt to Draw Heat or Attempt to Get a Pop. 	Showoff Lock
Side Headlock	Submission	Core	0	1	3	H				Permanent	Side Headlock
Single Leg Crab	Submission	Core	8	7	7	L				Ongoing - Opponent's market is -1.	Single Leg Crab
Single Leg Takedown	Grapple	Core	0	2	2	L	Set-up			Enters - You may play a submission with Target: L from your hand or discard. If played from discard and is unsuccessful put it beneath your draw deck.	Single Leg Takedown
Skilled Grappler	Action	Core	3	0	1					Permanent. Ongoing - Your Grapple maneuvers have Cost -1.	Skilled Grappler
Skilled Striker	Action	Core	3	0	1					Permanent. Ongoing - Your Strike maneuvers have Cost -1.	Skilled Striker
Skilled Submissionist 	Action	Core	3	0	1					Permanent. Ongoing - Your Submission maneuvers have Cost -1.	Skilled Submissionist 
Slam	Grapple	Core	2	6	3	T	Slam				Slam
Slap	Strike	Core	0	1	1	H				Permanent. Enters - Draw a card.	Slap
Sleeper	Submission	Core	3	6	6	H				Enters - Stun opponent. That card loses Permanent this turn.	Sleeper
Slip Away	Response	Core	3	0	3					Reverse any Strike or Submission 	Slip Away
Snapmare	Grapple	Core	0	1	6	H					Snapmare
Solbut	Strike	Core	6	6	4	T	Kick			Permanent. 	Solbut
Spinning Back Elbow	Strike	Core	1	6	6	H					Spinning Back Elbow
Spinning Back Fist	Strike	Core	6	8*	12	H				*+2D for each maneuver in your ring with T: H	Spinning Back Fist
Standing Arm Lock	Submission	Core	2	4	2	A				Ongoing - Opponent's Grapples are +1C.	Standing Arm Lock
Standing Leg Lock	Submission	Core	2	4	2	L				Ongoing - Opponent's Strikes are +1C.	Standing Leg Lock
Standing Waist Lock	Submission	Core	2	4	2	T				Ongoing - Opponent's Submissions are +1C.	Standing Waist Lock
Storm Zero	Grapple	Core	16	10	10	H		TRUE	Toni Storm Wrestler	Finisher. This is +1D for each Action card in your ring.	Storm Zero
Strategic Beatdown	Action	Core	5	0	2					Recovery Enters - Choose up to two non-response cards in your discard pile. Put up to one in your hand put the rest beneath either your draw deck or purchase deck.	Strategic Beatdown
Study Opponent	Action	Core	0	0	1					Enters - Draw a card, you may then Cycle a card (Discard a card to draw a card). Recovery Play - You may put a card from your Discard beneath your Purchase deck to Gain 3 Stamina.	Study Opponent
Stump Puller	Submission	Core	6	6	6	L				Ongoing - Your maneuvers with T:L are +2D.	Stump Puller
Superkick	Strike	Core	5	7	7	H	Kick			Enters - Opponent discards a card.	Superkick
Swerve Strickland Wrestler	Wrestler	Core			5			TRUE	Swerve Strickland Wrestler	Recovery Action - Commit : put a card from your discard pile under your draw deck. 	Swerve Strickland
Swerve's House	Response	Core	5	0	5			TRUE	Swerve Strickland Wrestler	Reverse any Card.  Enters - Look at the top three cards of your Draw Deck you may discard any of them. Put the rest back on top of your Draw Deck in any order. 	Swerve's House
Taekwondo Master 	Action	Core	6	0	5			TRUE	Mike Bailey Wrestler	Ongoing - Your Kicks are +2D. Enters - You may discard a card, if you do Play a Kick from your Discard. Otherwise Scout then draw a card. 	Taekwondo Master 
Take a Breather	Action	Core	0	0	2					Recovery Enters - Place a card from your discard beneath your draw deck. Gain 2 Stamina.	Take a Breather
The Hurt Lock	Submission	Core	18	12	12	H		TRUE	Bobby Lashley Wrestler	Finisher, Focus Attack 	The Hurt Lock
Thumbs Down 	Response	Core	6	3	3			TRUE	Bobby Lashley Wrestler	Power Attack. Reverse any maneuver. 	Thumbs Down 
Tighten Your Grip	Action	Core	1	0	2					Follow-Up - Enters - The Followed Maneuver gains Permanent this turn.	Tighten Your Grip
Toni Storm Wrestler	Wrestler	Core			5			TRUE	Toni Storm Wrestler	Recovery Action - Commit : Put up to two action cards from you discard benath your draw deck.	Toni Storm
Top-Rope Splash	Strike	Core	10	10	10	T	High Risk			Power Attack 	Top-Rope Splash
Torkneedo	Strike	Core	7	10	10	H	High Risk			Enters - Opponent discards a card and you may draw a card. 	Torkneedo
Ultima Weapon	Strike	Core	12	15	15		High Risk	TRUE	Mike Bailey Wrestler	Finisher.  Enters - You may put any number of Kicks from your discard pile beneath your draw deck. 	Ultima Weapon
Unscripted Violence	Response	Core	5	0	3			TRUE	Jon Moxley Wrestler	Reverse any maneuver. Enters - Reveal your hand to your opponent and they choose a maneuver from it. Play that maneuver, it can't be reversed but deals half damage (round up). 	Unscripted Violence
V-Trigger	Strike	Core	12	10	13	H			Kenny Omega	Kenny Omega - -4 Cost, Follow-Up - Enters - Opponent discards a card.	V-Trigger
Whose House?	Action	Core	8	0	3			TRUE	Swerve Strickland Wrestler	Enters - Choose up to three cards from your discard and for each put it beneath your draw deck or purchase deck. Look at the top three cards of your Draw deck, you may play one of those cards, discard the rest. 	Whose House?
Will of the Invisible Hand	Action	Core	5	0	2				Don Callis	Enters - Draw a card and Attempt to Draw Heat. Ready - Draw an addiontional card. Don Callis - When discarded to an ability you control gain 1 Stamina and you may Tuck a card from your Discard 	Will of the Invisible Hand
Work the Body	Strike	Core	4	7	7	T	Punch			Permanent	Work the Body
World Class Endurance	Action	Core	10	0	5					Resilient. Recovery Enters - Shuffle up to five cards from your discard into your draw deck. Gain 5 Stamina.	World Class Endurance
Wrist Lock	Submission	Core	2	2	3	A				Sudden, Permanent.  Enters - Gain 2 Stamina. 	Wrist Lock
Wristlock Slam	Grapple	Core	4	4	4	A	Slam			Focus Attack 	Wristlock Slam
